,stimulus,repeat,fish,date,stimulus_direction,tail_beat
0,s01,1,1,20201125,forward,137
1,s01,1,1,20201126,forward,57
2,s01,1,1,20201210,forward,89
3,s01,1,1,20201211,forward,70
4,s01,1,1,20210226,backward,1
5,s01,1,1,20210304,backward,0
6,s01,1,1,20210305,rightward,68
7,s01,1,1,20210311,rightward,0
8,s01,1,1,20210325,rightward,0
9,s01,1,1,20210326,rightward,3
10,s01,1,1,20210330,upward,0
11,s01,1,1,20210331,upward,3
12,s01,1,1,20210413,downward,0
13,s01,1,1,20210414,downward,0
14,s01,1,1,20210422,upward,17
15,s01,1,1,20210423,upward,0
16,s01,1,1,20210427,backward,0
17,s01,1,1,20210428,backward,10
18,s01,1,1,20210503,rightward,15
19,s01,1,1,20210504,leftward,15
20,s01,1,2,20201120,forward,99
21,s01,1,2,20201126,forward,53
22,s01,1,2,20201211,forward,81
23,s01,1,2,20210226,backward,0
24,s01,1,2,20210304,backward,0
25,s01,1,2,20210311,rightward,0
26,s01,1,2,20210326,rightward,0
27,s01,1,2,20210330,upward,0
28,s01,1,2,20210331,upward,0
29,s01,1,2,20210413,downward,0
30,s01,1,2,20210414,downward,0
31,s01,1,2,20210422,upward,0
32,s01,1,2,20210423,upward,45
33,s01,1,2,20210427,backward,0
34,s01,1,2,20210428,backward,1
35,s01,1,2,20210503,rightward,16
36,s01,1,2,20210504,leftward,25
37,s01,2,1,20201125,forward,117
38,s01,2,1,20201126,forward,65
39,s01,2,1,20201210,forward,18
40,s01,2,1,20201211,forward,76
41,s01,2,1,20210226,backward,2
42,s01,2,1,20210304,backward,7
43,s01,2,1,20210305,rightward,42
44,s01,2,1,20210311,rightward,0
45,s01,2,1,20210325,rightward,1
46,s01,2,1,20210326,rightward,0
47,s01,2,1,20210330,upward,0
48,s01,2,1,20210331,upward,0
49,s01,2,1,20210413,downward,0
50,s01,2,1,20210414,downward,0
51,s01,2,1,20210422,upward,54
52,s01,2,1,20210423,upward,4
53,s01,2,1,20210427,backward,10
54,s01,2,1,20210428,backward,0
55,s01,2,1,20210503,rightward,53
56,s01,2,1,20210504,leftward,15
57,s01,2,2,20201120,forward,89
58,s01,2,2,20201125,forward,112
59,s01,2,2,20201126,forward,31
60,s01,2,2,20201211,forward,39
61,s01,2,2,20210226,backward,0
62,s01,2,2,20210304,backward,0
63,s01,2,2,20210311,rightward,24
64,s01,2,2,20210326,rightward,0
65,s01,2,2,20210330,upward,26
66,s01,2,2,20210331,upward,0
67,s01,2,2,20210413,downward,0
68,s01,2,2,20210414,downward,0
69,s01,2,2,20210422,upward,5
70,s01,2,2,20210423,upward,58
71,s01,2,2,20210427,backward,0
72,s01,2,2,20210428,backward,0
73,s01,2,2,20210503,rightward,30
74,s01,2,2,20210504,leftward,13
75,s01,3,1,20201125,forward,140
76,s01,3,1,20201126,forward,55
77,s01,3,1,20201210,forward,49
78,s01,3,1,20201211,forward,72
79,s01,3,1,20210226,backward,0
80,s01,3,1,20210304,backward,0
81,s01,3,1,20210305,rightward,53
82,s01,3,1,20210311,rightward,0
83,s01,3,1,20210325,rightward,19
84,s01,3,1,20210326,rightward,0
85,s01,3,1,20210330,upward,0
86,s01,3,1,20210331,upward,0
87,s01,3,1,20210413,downward,0
88,s01,3,1,20210414,downward,0
89,s01,3,1,20210422,upward,0
90,s01,3,1,20210423,upward,0
91,s01,3,1,20210427,backward,0
92,s01,3,1,20210428,backward,0
93,s01,3,1,20210503,rightward,48
94,s01,3,1,20210504,leftward,18
95,s01,3,2,20201120,forward,65
96,s01,3,2,20201125,forward,113
97,s01,3,2,20201126,forward,6
98,s01,3,2,20201211,forward,110
99,s01,3,2,20210226,backward,4
100,s01,3,2,20210304,backward,0
101,s01,3,2,20210311,rightward,7
102,s01,3,2,20210326,rightward,17
103,s01,3,2,20210330,upward,20
104,s01,3,2,20210331,upward,0
105,s01,3,2,20210413,downward,0
106,s01,3,2,20210414,downward,0
107,s01,3,2,20210422,upward,0
108,s01,3,2,20210423,upward,0
109,s01,3,2,20210427,backward,4
110,s01,3,2,20210428,backward,6
111,s01,3,2,20210503,rightward,21
112,s01,3,2,20210504,leftward,81
113,s02,1,1,20201125,forward,146
114,s02,1,1,20201126,forward,54
115,s02,1,1,20201210,forward,8
116,s02,1,1,20201211,forward,65
117,s02,1,1,20210226,backward,0
118,s02,1,1,20210304,backward,6
119,s02,1,1,20210305,rightward,16
120,s02,1,1,20210311,rightward,17
121,s02,1,1,20210325,rightward,0
122,s02,1,1,20210326,rightward,13
123,s02,1,1,20210330,upward,0
124,s02,1,1,20210331,upward,0
125,s02,1,1,20210413,downward,0
126,s02,1,1,20210414,downward,0
127,s02,1,1,20210422,upward,0
128,s02,1,1,20210423,upward,6
129,s02,1,1,20210427,backward,0
130,s02,1,1,20210428,backward,0
131,s02,1,1,20210503,rightward,0
132,s02,1,1,20210504,leftward,0
133,s02,1,2,20201120,forward,87
134,s02,1,2,20201126,forward,10
135,s02,1,2,20201211,forward,25
136,s02,1,2,20210226,backward,0
137,s02,1,2,20210304,backward,0
138,s02,1,2,20210311,rightward,6
139,s02,1,2,20210326,rightward,47
140,s02,1,2,20210330,upward,0
141,s02,1,2,20210331,upward,0
142,s02,1,2,20210413,downward,0
143,s02,1,2,20210414,downward,0
144,s02,1,2,20210422,upward,0
145,s02,1,2,20210423,upward,0
146,s02,1,2,20210427,backward,0
147,s02,1,2,20210428,backward,0
148,s02,1,2,20210503,rightward,0
149,s02,1,2,20210504,leftward,24
150,s02,2,1,20201125,forward,92
151,s02,2,1,20201126,forward,41
152,s02,2,1,20201210,forward,46
153,s02,2,1,20201211,forward,46
154,s02,2,1,20210226,backward,9
155,s02,2,1,20210304,backward,11
156,s02,2,1,20210305,rightward,17
157,s02,2,1,20210311,rightward,0
158,s02,2,1,20210325,rightward,8
159,s02,2,1,20210326,rightward,31
160,s02,2,1,20210330,upward,0
161,s02,2,1,20210331,upward,6
162,s02,2,1,20210413,downward,0
163,s02,2,1,20210414,downward,0
164,s02,2,1,20210422,upward,0
165,s02,2,1,20210423,upward,0
166,s02,2,1,20210427,backward,0
167,s02,2,1,20210428,backward,0
168,s02,2,1,20210503,rightward,0
169,s02,2,1,20210504,leftward,0
170,s02,2,2,20201120,forward,102
171,s02,2,2,20201125,forward,142
172,s02,2,2,20201126,forward,14
173,s02,2,2,20201211,forward,61
174,s02,2,2,20210226,backward,0
175,s02,2,2,20210304,backward,0
176,s02,2,2,20210311,rightward,15
177,s02,2,2,20210326,rightward,16
178,s02,2,2,20210330,upward,0
179,s02,2,2,20210331,upward,0
180,s02,2,2,20210413,downward,0
181,s02,2,2,20210414,downward,0
182,s02,2,2,20210422,upward,0
183,s02,2,2,20210423,upward,0
184,s02,2,2,20210427,backward,0
185,s02,2,2,20210428,backward,0
186,s02,2,2,20210503,rightward,5
187,s02,2,2,20210504,leftward,20
188,s02,3,1,20201125,forward,131
189,s02,3,1,20201126,forward,68
190,s02,3,1,20201210,forward,88
191,s02,3,1,20201211,forward,46
192,s02,3,1,20210226,backward,9
193,s02,3,1,20210304,backward,0
194,s02,3,1,20210305,rightward,18
195,s02,3,1,20210311,rightward,0
196,s02,3,1,20210325,rightward,10
197,s02,3,1,20210326,rightward,25
198,s02,3,1,20210330,upward,0
199,s02,3,1,20210331,upward,0
200,s02,3,1,20210413,downward,0
201,s02,3,1,20210414,downward,0
202,s02,3,1,20210422,upward,0
203,s02,3,1,20210423,upward,0
204,s02,3,1,20210427,backward,0
205,s02,3,1,20210428,backward,0
206,s02,3,1,20210503,rightward,0
207,s02,3,1,20210504,leftward,0
208,s02,3,2,20201120,forward,55
209,s02,3,2,20201125,forward,115
210,s02,3,2,20201126,forward,59
211,s02,3,2,20201211,forward,59
212,s02,3,2,20210226,backward,0
213,s02,3,2,20210304,backward,0
214,s02,3,2,20210311,rightward,44
215,s02,3,2,20210326,rightward,8
216,s02,3,2,20210330,upward,0
217,s02,3,2,20210331,upward,0
218,s02,3,2,20210413,downward,0
219,s02,3,2,20210414,downward,0
220,s02,3,2,20210422,upward,0
221,s02,3,2,20210423,upward,0
222,s02,3,2,20210427,backward,0
223,s02,3,2,20210428,backward,0
224,s02,3,2,20210503,rightward,0
225,s02,3,2,20210504,leftward,0
226,s03,1,1,20201125,forward,107
227,s03,1,1,20201126,forward,22
228,s03,1,1,20201210,forward,0
229,s03,1,1,20201211,forward,76
230,s03,1,1,20210226,backward,0
231,s03,1,1,20210304,backward,0
232,s03,1,1,20210305,rightward,21
233,s03,1,1,20210311,rightward,10
234,s03,1,1,20210325,rightward,35
235,s03,1,1,20210326,rightward,10
236,s03,1,1,20210330,upward,0
237,s03,1,1,20210331,upward,4
238,s03,1,1,20210413,downward,0
239,s03,1,1,20210414,downward,0
240,s03,1,1,20210422,upward,21
241,s03,1,1,20210423,upward,6
242,s03,1,1,20210427,backward,0
243,s03,1,1,20210428,backward,0
244,s03,1,1,20210503,rightward,0
245,s03,1,1,20210504,leftward,9
246,s03,1,2,20201120,forward,62
247,s03,1,2,20201126,forward,23
248,s03,1,2,20201211,forward,0
249,s03,1,2,20210226,backward,0
250,s03,1,2,20210304,backward,0
251,s03,1,2,20210311,rightward,12
252,s03,1,2,20210326,rightward,39
253,s03,1,2,20210330,upward,0
254,s03,1,2,20210331,upward,0
255,s03,1,2,20210413,downward,0
256,s03,1,2,20210414,downward,0
257,s03,1,2,20210422,upward,63
258,s03,1,2,20210423,upward,0
259,s03,1,2,20210427,backward,0
260,s03,1,2,20210428,backward,0
261,s03,1,2,20210503,rightward,19
262,s03,1,2,20210504,leftward,27
263,s03,2,1,20201125,forward,67
264,s03,2,1,20201126,forward,39
265,s03,2,1,20201210,forward,46
266,s03,2,1,20201211,forward,51
267,s03,2,1,20210226,backward,0
268,s03,2,1,20210304,backward,0
269,s03,2,1,20210305,rightward,22
270,s03,2,1,20210311,rightward,37
271,s03,2,1,20210325,rightward,66
272,s03,2,1,20210326,rightward,62
273,s03,2,1,20210330,upward,0
274,s03,2,1,20210331,upward,0
275,s03,2,1,20210413,downward,0
276,s03,2,1,20210414,downward,0
277,s03,2,1,20210422,upward,0
278,s03,2,1,20210423,upward,0
279,s03,2,1,20210427,backward,0
280,s03,2,1,20210428,backward,0
281,s03,2,1,20210503,rightward,18
282,s03,2,1,20210504,leftward,11
283,s03,2,2,20201120,forward,17
284,s03,2,2,20201125,forward,140
285,s03,2,2,20201126,forward,17
286,s03,2,2,20201211,forward,66
287,s03,2,2,20210226,backward,0
288,s03,2,2,20210304,backward,0
289,s03,2,2,20210311,rightward,0
290,s03,2,2,20210326,rightward,102
291,s03,2,2,20210330,upward,25
292,s03,2,2,20210331,upward,0
293,s03,2,2,20210413,downward,0
294,s03,2,2,20210414,downward,0
295,s03,2,2,20210422,upward,15
296,s03,2,2,20210423,upward,0
297,s03,2,2,20210427,backward,0
298,s03,2,2,20210428,backward,0
299,s03,2,2,20210503,rightward,12
300,s03,2,2,20210504,leftward,18
301,s03,3,1,20201125,forward,56
302,s03,3,1,20201126,forward,71
303,s03,3,1,20201210,forward,32
304,s03,3,1,20201211,forward,98
305,s03,3,1,20210226,backward,0
306,s03,3,1,20210304,backward,0
307,s03,3,1,20210305,rightward,5
308,s03,3,1,20210311,rightward,7
309,s03,3,1,20210325,rightward,165
310,s03,3,1,20210326,rightward,75
311,s03,3,1,20210330,upward,0
312,s03,3,1,20210331,upward,0
313,s03,3,1,20210413,downward,0
314,s03,3,1,20210414,downward,0
315,s03,3,1,20210422,upward,0
316,s03,3,1,20210423,upward,0
317,s03,3,1,20210427,backward,0
318,s03,3,1,20210428,backward,0
319,s03,3,1,20210503,rightward,34
320,s03,3,1,20210504,leftward,19
321,s03,3,2,20201120,forward,53
322,s03,3,2,20201125,forward,84
323,s03,3,2,20201126,forward,0
324,s03,3,2,20201211,forward,26
325,s03,3,2,20210226,backward,0
326,s03,3,2,20210304,backward,0
327,s03,3,2,20210311,rightward,0
328,s03,3,2,20210326,rightward,58
329,s03,3,2,20210330,upward,0
330,s03,3,2,20210331,upward,0
331,s03,3,2,20210413,downward,0
332,s03,3,2,20210414,downward,0
333,s03,3,2,20210422,upward,0
334,s03,3,2,20210423,upward,0
335,s03,3,2,20210427,backward,0
336,s03,3,2,20210428,backward,0
337,s03,3,2,20210503,rightward,16
338,s03,3,2,20210504,leftward,69
339,s04,1,1,20201125,forward,0
340,s04,1,1,20201126,forward,0
341,s04,1,1,20201210,forward,17
342,s04,1,1,20201211,forward,65
343,s04,1,1,20210226,backward,0
344,s04,1,1,20210304,backward,0
345,s04,1,1,20210305,rightward,22
346,s04,1,1,20210311,rightward,2
347,s04,1,1,20210325,rightward,0
348,s04,1,1,20210326,rightward,35
349,s04,1,1,20210330,upward,0
350,s04,1,1,20210331,upward,0
351,s04,1,1,20210413,downward,0
352,s04,1,1,20210414,downward,0
353,s04,1,1,20210422,upward,0
354,s04,1,1,20210423,upward,0
355,s04,1,1,20210427,backward,0
356,s04,1,1,20210428,backward,0
357,s04,1,1,20210503,rightward,23
358,s04,1,1,20210504,leftward,33
359,s04,1,2,20201120,forward,0
360,s04,1,2,20201126,forward,0
361,s04,1,2,20201211,forward,0
362,s04,1,2,20210226,backward,0
363,s04,1,2,20210304,backward,0
364,s04,1,2,20210311,rightward,1
365,s04,1,2,20210326,rightward,15
366,s04,1,2,20210330,upward,0
367,s04,1,2,20210331,upward,0
368,s04,1,2,20210413,downward,0
369,s04,1,2,20210414,downward,0
370,s04,1,2,20210422,upward,0
371,s04,1,2,20210423,upward,29
372,s04,1,2,20210427,backward,0
373,s04,1,2,20210428,backward,0
374,s04,1,2,20210503,rightward,13
375,s04,1,2,20210504,leftward,17
376,s04,2,1,20201125,forward,0
377,s04,2,1,20201126,forward,0
378,s04,2,1,20201210,forward,0
379,s04,2,1,20201211,forward,0
380,s04,2,1,20210226,backward,2
381,s04,2,1,20210304,backward,0
382,s04,2,1,20210305,rightward,68
383,s04,2,1,20210311,rightward,17
384,s04,2,1,20210325,rightward,0
385,s04,2,1,20210326,rightward,38
386,s04,2,1,20210330,upward,0
387,s04,2,1,20210331,upward,0
388,s04,2,1,20210413,downward,0
389,s04,2,1,20210414,downward,0
390,s04,2,1,20210422,upward,1
391,s04,2,1,20210423,upward,7
392,s04,2,1,20210427,backward,0
393,s04,2,1,20210428,backward,0
394,s04,2,1,20210503,rightward,15
395,s04,2,1,20210504,leftward,39
396,s04,2,2,20201120,forward,0
397,s04,2,2,20201125,forward,26
398,s04,2,2,20201126,forward,1
399,s04,2,2,20201211,forward,0
400,s04,2,2,20210226,backward,0
401,s04,2,2,20210304,backward,0
402,s04,2,2,20210311,rightward,0
403,s04,2,2,20210326,rightward,11
404,s04,2,2,20210330,upward,0
405,s04,2,2,20210331,upward,0
406,s04,2,2,20210413,downward,0
407,s04,2,2,20210414,downward,0
408,s04,2,2,20210422,upward,0
409,s04,2,2,20210423,upward,69
410,s04,2,2,20210427,backward,16
411,s04,2,2,20210428,backward,0
412,s04,2,2,20210503,rightward,18
413,s04,2,2,20210504,leftward,12
414,s04,3,1,20201125,forward,0
415,s04,3,1,20201126,forward,21
416,s04,3,1,20201210,forward,0
417,s04,3,1,20201211,forward,0
418,s04,3,1,20210226,backward,7
419,s04,3,1,20210304,backward,0
420,s04,3,1,20210305,rightward,47
421,s04,3,1,20210311,rightward,0
422,s04,3,1,20210325,rightward,33
423,s04,3,1,20210326,rightward,38
424,s04,3,1,20210330,upward,0
425,s04,3,1,20210331,upward,0
426,s04,3,1,20210413,downward,0
427,s04,3,1,20210414,downward,0
428,s04,3,1,20210422,upward,0
429,s04,3,1,20210423,upward,0
430,s04,3,1,20210427,backward,0
431,s04,3,1,20210428,backward,0
432,s04,3,1,20210503,rightward,64
433,s04,3,1,20210504,leftward,14
434,s04,3,2,20201120,forward,0
435,s04,3,2,20201125,forward,17
436,s04,3,2,20201126,forward,0
437,s04,3,2,20201211,forward,0
438,s04,3,2,20210226,backward,0
439,s04,3,2,20210304,backward,0
440,s04,3,2,20210311,rightward,0
441,s04,3,2,20210326,rightward,0
442,s04,3,2,20210330,upward,5
443,s04,3,2,20210331,upward,0
444,s04,3,2,20210413,downward,0
445,s04,3,2,20210414,downward,5
446,s04,3,2,20210422,upward,0
447,s04,3,2,20210423,upward,0
448,s04,3,2,20210427,backward,0
449,s04,3,2,20210428,backward,0
450,s04,3,2,20210503,rightward,5
451,s04,3,2,20210504,leftward,19
452,s05,1,1,20201125,forward,0
453,s05,1,1,20201126,forward,8
454,s05,1,1,20201210,forward,48
455,s05,1,1,20201211,forward,92
456,s05,1,1,20210226,backward,0
457,s05,1,1,20210304,backward,0
458,s05,1,1,20210305,rightward,0
459,s05,1,1,20210311,rightward,0
460,s05,1,1,20210325,rightward,12
461,s05,1,1,20210326,rightward,32
462,s05,1,1,20210330,upward,0
463,s05,1,1,20210331,upward,0
464,s05,1,1,20210413,downward,0
465,s05,1,1,20210414,downward,0
466,s05,1,1,20210422,upward,0
467,s05,1,1,20210423,upward,0
468,s05,1,1,20210427,backward,0
469,s05,1,1,20210428,backward,0
470,s05,1,1,20210503,rightward,0
471,s05,1,1,20210504,leftward,0
472,s05,1,2,20201120,forward,16
473,s05,1,2,20201126,forward,40
474,s05,1,2,20201211,forward,4
475,s05,1,2,20210226,backward,6
476,s05,1,2,20210304,backward,0
477,s05,1,2,20210311,rightward,0
478,s05,1,2,20210326,rightward,47
479,s05,1,2,20210330,upward,0
480,s05,1,2,20210331,upward,0
481,s05,1,2,20210413,downward,0
482,s05,1,2,20210414,downward,0
483,s05,1,2,20210422,upward,0
484,s05,1,2,20210423,upward,0
485,s05,1,2,20210427,backward,0
486,s05,1,2,20210428,backward,0
487,s05,1,2,20210503,rightward,31
488,s05,1,2,20210504,leftward,8
489,s05,2,1,20201125,forward,0
490,s05,2,1,20201126,forward,19
491,s05,2,1,20201210,forward,17
492,s05,2,1,20201211,forward,56
493,s05,2,1,20210226,backward,7
494,s05,2,1,20210304,backward,0
495,s05,2,1,20210305,rightward,4
496,s05,2,1,20210311,rightward,17
497,s05,2,1,20210325,rightward,21
498,s05,2,1,20210326,rightward,32
499,s05,2,1,20210330,upward,0
500,s05,2,1,20210331,upward,0
501,s05,2,1,20210413,downward,0
502,s05,2,1,20210414,downward,0
503,s05,2,1,20210422,upward,0
504,s05,2,1,20210423,upward,0
505,s05,2,1,20210427,backward,0
506,s05,2,1,20210428,backward,0
507,s05,2,1,20210503,rightward,0
508,s05,2,1,20210504,leftward,4
509,s05,2,2,20201120,forward,0
510,s05,2,2,20201125,forward,96
511,s05,2,2,20201126,forward,8
512,s05,2,2,20201211,forward,4
513,s05,2,2,20210226,backward,0
514,s05,2,2,20210304,backward,6
515,s05,2,2,20210311,rightward,0
516,s05,2,2,20210326,rightward,31
517,s05,2,2,20210330,upward,0
518,s05,2,2,20210331,upward,0
519,s05,2,2,20210413,downward,0
520,s05,2,2,20210414,downward,0
521,s05,2,2,20210422,upward,0
522,s05,2,2,20210423,upward,0
523,s05,2,2,20210427,backward,0
524,s05,2,2,20210428,backward,0
525,s05,2,2,20210503,rightward,6
526,s05,2,2,20210504,leftward,1
527,s05,3,1,20201125,forward,53
528,s05,3,1,20201126,forward,35
529,s05,3,1,20201210,forward,23
530,s05,3,1,20201211,forward,22
531,s05,3,1,20210226,backward,0
532,s05,3,1,20210304,backward,0
533,s05,3,1,20210305,rightward,4
534,s05,3,1,20210311,rightward,0
535,s05,3,1,20210325,rightward,36
536,s05,3,1,20210326,rightward,15
537,s05,3,1,20210330,upward,0
538,s05,3,1,20210331,upward,0
539,s05,3,1,20210413,downward,0
540,s05,3,1,20210414,downward,0
541,s05,3,1,20210422,upward,0
542,s05,3,1,20210423,upward,0
543,s05,3,1,20210427,backward,0
544,s05,3,1,20210428,backward,0
545,s05,3,1,20210503,rightward,0
546,s05,3,1,20210504,leftward,23
547,s05,3,2,20201120,forward,33
548,s05,3,2,20201125,forward,92
549,s05,3,2,20201126,forward,0
550,s05,3,2,20201211,forward,0
551,s05,3,2,20210226,backward,0
552,s05,3,2,20210304,backward,0
553,s05,3,2,20210311,rightward,0
554,s05,3,2,20210326,rightward,11
555,s05,3,2,20210330,upward,0
556,s05,3,2,20210331,upward,0
557,s05,3,2,20210413,downward,0
558,s05,3,2,20210414,downward,0
559,s05,3,2,20210422,upward,0
560,s05,3,2,20210423,upward,0
561,s05,3,2,20210427,backward,0
562,s05,3,2,20210428,backward,0
563,s05,3,2,20210503,rightward,18
564,s05,3,2,20210504,leftward,1
565,s06,1,1,20201125,forward,139
566,s06,1,1,20201126,forward,45
567,s06,1,1,20201210,forward,63
568,s06,1,1,20201211,forward,48
569,s06,1,1,20210226,backward,0
570,s06,1,1,20210304,backward,0
571,s06,1,1,20210305,rightward,19
572,s06,1,1,20210311,rightward,0
573,s06,1,1,20210325,rightward,0
574,s06,1,1,20210326,rightward,0
575,s06,1,1,20210330,upward,0
576,s06,1,1,20210331,upward,0
577,s06,1,1,20210413,downward,0
578,s06,1,1,20210414,downward,0
579,s06,1,1,20210422,upward,0
